ID,Datetime,A,B,C,D,E,F,G,H
0,2004-10-01,328544,,44255,,,,,
1,2004-10-02,311997,,39398,,,,,
2,2004-10-03,293450,,36689,,,,,
3,2004-10-04,343417,,46237,,,,,
4,2004-10-05,346553,,47283,,,,,
5,2004-10-06,346195,,47579,,,,,
6,2004-10-07,346786,,47414,,,,,
7,2004-10-08,344408,,47103,,,,,
8,2004-10-09,310429,,40350,,,,,
9,2004-10-10,294249,,37245,,,,,
10,2004-10-11,343194,,46196,,,,,
11,2004-10-12,350758,,47353,,,,,
12,2004-10-13,346906,,47293,,,,,
13,2004-10-14,347616,,47257,,,,,
14,2004-10-15,348881,,46682,,,,,
15,2004-10-16,326465,,41641,,,,,
16,2004-10-17,314364,,39551,,,,,
17,2004-10-18,370216,,49789,,,,,
18,2004-10-19,355375,,48451,,,,,
19,2004-10-20,348466,,47657,,,,,
20,2004-10-21,345066,,47125,,,,,
21,2004-10-22,343467,,46626,,,,,
22,2004-10-23,318119,,41092,,,,,
23,2004-10-24,298528,,37753,,,,,
24,2004-10-25,347439,,47251,,,,,
25,2004-10-26,351691,,47851,,,,,
26,2004-10-27,346772,,47819,,,,,
27,2004-10-28,343864,,47465,,,,,
28,2004-10-29,342247,,48361,,,,,
29,2004-10-30,310183,,41703,,,,,
30,2004-10-31,283428,,36460,,,,,
31,2004-11-01,343730,,47734,,,,,
32,2004-11-02,350023,,47623,,,,,
33,2004-11-03,351589,,48306,,,,,
34,2004-11-04,360449,,48755,,,,,
35,2004-11-05,358413,,47849,,,,,
36,2004-11-06,333626,,41671,,,,,
37,2004-11-07,310646,,38348,,,,,
38,2004-11-08,363449,,48594,,,,,
39,2004-11-09,390415,,50599,,,,,
40,2004-11-10,385039,,49655,,,,,
41,2004-11-11,375946,,49229,,,,,
42,2004-11-12,373488,,48881,,,,,
43,2004-11-13,347094,,43792,,,,,
44,2004-11-14,345870,,41608,,,,,
45,2004-11-15,386507,,49794,,,,,
46,2004-11-16,379207,,49338,,,,,
47,2004-11-17,369128,,48573,,,,,
48,2004-11-18,363325,,47647,,,,,
49,2004-11-19,353355,,46567,,,,,
50,2004-11-20,320367,,40590,,,,,
51,2004-11-21,311510,,39259,,,,,
52,2004-11-22,356843,,48464,,,,,
53,2004-11-23,357029,,48213,,,,,
54,2004-11-24,357410,,47861,,,,,
55,2004-11-25,318622,,40409,,,,,
56,2004-11-26,346471,,42644,,,,,
57,2004-11-27,338821,,40634,,,,,
58,2004-11-28,340210,,42285,,,,,
59,2004-11-29,396844,,52474,,,,,
60,2004-11-30,392491,,52356,,,,,
61,2004-12-01,387942,,52056,,,,,
62,2004-12-02,406903,,52959,,,,,
63,2004-12-03,398031,,52334,,,,,
64,2004-12-04,374692,,47329,,,,,
65,2004-12-05,348679,,42567,,,,,
66,2004-12-06,384356,,50347,,,,,
67,2004-12-07,370514,,49946,,,,,
68,2004-12-08,374612,,51070,,,,,
69,2004-12-09,395409,,52443,,,,,
70,2004-12-10,376503,,50418,,,,,
71,2004-12-11,370583,,47528,,,,,
72,2004-12-12,367592,,45985,,,,,
73,2004-12-13,423812,,56391,,,,,
74,2004-12-14,450103,,58614,,,,,
75,2004-12-15,449526,,58160,,,,,
76,2004-12-16,442765,,57629,,,,,
77,2004-12-17,415679,,54820,,,,,
78,2004-12-18,399082,,50168,,,,,
79,2004-12-19,412499,,51743,,,,,
80,2004-12-20,500753,,64151,,,,,
81,2004-12-21,447715,,57607,,,,,
82,2004-12-22,417517,,56777,,,,,
83,2004-12-23,393186,,52402,,,,,
84,2004-12-24,395302,,52731,,,,,
85,2004-12-25,392990,,52160,,,,,
86,2004-12-26,385755,,48180,,,,,
87,2004-12-27,440413,,54190,,,,,
88,2004-12-28,434784,,53264,,,,,
89,2004-12-29,390743,,47967,,,,,
90,2004-12-30,365830,,46092,,,,,
91,2004-12-31,338594,,41535,,,,,
92,2005-01-01,311897,,38596,,,31111,,
93,2005-01-02,322712,,39528,,,32958,,
94,2005-01-03,363937,,47581,,,37991,,
95,2005-01-04,374003,,50831,,,38658,,
96,2005-01-05,389445,,54399,,,41064,,
97,2005-01-06,374851,,51669,,,40175,,
98,2005-01-07,389679,,52895,,,40941,,
99,2005-01-08,363338,,47952,,,38050,,
100,2005-01-09,349828,,44505,,,36173,,
101,2005-01-10,390332,,52477,,,40275,,
102,2005-01-11,394250,,52439,,,41175,,
103,2005-01-12,368065,,49460,,,39243,,
104,2005-01-13,360620,,49768,,,38278,,
105,2005-01-14,400007,,54347,,,39740,,
106,2005-01-15,397533,,50874,,,38230,,
107,2005-01-16,400928,,51104,,,37588,,
108,2005-01-17,480699,,61745,,,42755,,
109,2005-01-18,499350,,63952,,,45286,,
110,2005-01-19,477819,,60207,,,44149,,
111,2005-01-20,448482,,57996,,,43407,,
112,2005-01-21,453776,,58634,,,43816,,
113,2005-01-22,439113,,54266,,,41492,,
114,2005-01-23,462987,,55478,,,41075,,
115,2005-01-24,495527,,61813,,,45720,,
116,2005-01-25,440343,,56441,,,43802,,
117,2005-01-26,423651,,55926,,,42304,,
118,2005-01-27,457276,,60732,,,44609,,
119,2005-01-28,467588,,60674,,,43779,,
120,2005-01-29,423902,,51031,,,40083,,
121,2005-01-30,386106,,46785,,,36745,,
122,2005-01-31,427070,,57349,,,41931,,
123,2005-02-01,426925,,56441,,,42059,,
124,2005-02-02,436545,,57246,,,41776,,
125,2005-02-03,411274,,56228,,,41660,,
126,2005-02-04,410829,,53047,,,39508,,
127,2005-02-05,372899,,45921,,,36586,,
128,2005-02-06,350214,,43386,,,35588,,
129,2005-02-07,384542,,51203,,,39001,,
130,2005-02-08,383904,,51740,,,39791,,
131,2005-02-09,384398,,53586,,,39788,,
132,2005-02-10,426095,,56721,,,42037,,
133,2005-02-11,441762,,57230,,,42341,,
134,2005-02-12,373987,,46570,,,37828,,
135,2005-02-13,362694,,44808,,,36337,,
136,2005-02-14,387979,,51151,,,40142,,
137,2005-02-15,375974,,50046,,,38587,,
138,2005-02-16,388959,,52203,,,39171,,
139,2005-02-17,420808,,56408,,,41576,,
140,2005-02-18,432196,,56143,,,43000,,
141,2005-02-19,396286,,50198,,,39087,,
142,2005-02-20,369545,,45774,,,37263,,
143,2005-02-21,382247,,51042,,,39022,,
144,2005-02-22,386806,,53396,,,39769,,
145,2005-02-23,391467,,54338,,,40915,,
146,2005-02-24,420623,,55495,,,42194,,
147,2005-02-25,415019,,55193,,,41328,,
148,2005-02-26,375256,,45312,,,37741,,
149,2005-02-27,366052,,45316,,,37605,,
